contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
entailment || a man playing guitar and signing next to a woman in a dress playing an instrument || a man and woman make music.
contradiction || two young musicians play from a stage. || the stage is empty
contradiction || two young musicians play from a stage. || the two musicians are playing the trumpet
entailment || two young musicians play from a stage. || two people on a stage
entailment || a woman is holding her child while a man is reading something from a piece of paper and taking something from a bowl that a younger girl is holding in a park with a small lake in the background. || there are people outside
neutral || a woman is holding her child while a man is reading something from a piece of paper and taking something from a bowl that a younger girl is holding in a park with a small lake in the background. || the people are on a family picnic.
contradiction || a woman is holding her child while a man is reading something from a piece of paper and taking something from a bowl that a younger girl is holding in a park with a small lake in the background. || the people are swimming in the lake.
entailment || a girl with short hair and a white shirt is holding a beer bottle || there is a girl holding a beer bottle.
contradiction || a girl with short hair and a white shirt is holding a beer bottle || a girl with short hair and a blue shirt is holding a beer bottle
neutral || a girl with short hair and a white shirt is holding a beer bottle || the girl has just got down drinking the whole bottle.
neutral || mother and daughter are meeting for the first time. || the mother and daughter are meeting.
